id,country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1265158,Ireland,2020-03-01,3.0,3.0,-5.0,2.0,2.0,0.0
1265159,Ireland,2020-03-02,4.0,4.0,12.0,1.0,1.0,0.0
1265160,Ireland,2020-03-03,8.0,5.0,29.0,2.0,3.0,-1.0
1265161,Ireland,2020-03-04,5.0,4.0,25.0,1.0,1.0,0.0
1265162,Ireland,2020-03-05,4.0,4.0,15.0,0.0,2.0,0.0
1265163,Ireland,2020-03-06,3.0,7.0,10.0,0.0,1.0,0.0
1265164,Ireland,2020-03-07,-3.0,3.0,-1.0,-4.0,0.0,1.0
1265165,Ireland,2020-03-08,0.0,2.0,0.0,-4.0,0.0,0.0
1265166,Ireland,2020-03-09,-3.0,3.0,-13.0,-6.0,0.0,2.0
1265167,Ireland,2020-03-10,3.0,11.0,15.0,-3.0,1.0,1.0
1265168,Ireland,2020-03-11,-3.0,11.0,-3.0,-9.0,-1.0,2.0
1265169,Ireland,2020-03-12,-3.0,33.0,-13.0,-14.0,-3.0,3.0
1265170,Ireland,2020-03-13,-19.0,10.0,1.0,-30.0,-26.0,12.0
1265171,Ireland,2020-03-14,-32.0,2.0,-15.0,-34.0,-12.0,9.0
1265172,Ireland,2020-03-15,-36.0,7.0,20.0,-35.0,-16.0,9.0
1265173,Ireland,2020-03-16,-26.0,15.0,21.0,-45.0,-49.0,18.0
1265174,Ireland,2020-03-17,-59.0,-24.0,67.0,-62.0,-80.0,29.0
1265175,Ireland,2020-03-18,-46.0,-9.0,14.0,-52.0,-46.0,20.0
1265176,Ireland,2020-03-19,-48.0,-10.0,29.0,-54.0,-48.0,22.0
1265177,Ireland,2020-03-20,-53.0,-9.0,16.0,-57.0,-48.0,23.0
1265178,Ireland,2020-03-21,-59.0,-3.0,-12.0,-59.0,-39.0,17.0
1265179,Ireland,2020-03-22,-59.0,-11.0,39.0,-53.0,-39.0,13.0
1265180,Ireland,2020-03-23,-49.0,-18.0,7.0,-61.0,-51.0,21.0
1265181,Ireland,2020-03-24,-51.0,-9.0,10.0,-62.0,-53.0,22.0
1265182,Ireland,2020-03-25,-60.0,-18.0,13.0,-63.0,-55.0,24.0
1265183,Ireland,2020-03-26,-60.0,-16.0,15.0,-65.0,-56.0,25.0
1265184,Ireland,2020-03-27,-63.0,-13.0,0.0,-66.0,-56.0,26.0
