id,country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1767703,New Zealand,2020-03-01,1.0,4.0,-1.0,8.0,1.0,1.0
1767704,New Zealand,2020-03-02,-4.0,-1.0,-10.0,16.0,34.0,-2.0
1767705,New Zealand,2020-03-03,-4.0,0.0,-6.0,8.0,17.0,-1.0
1767706,New Zealand,2020-03-04,-2.0,0.0,-17.0,9.0,16.0,-1.0
1767707,New Zealand,2020-03-05,0.0,1.0,-15.0,10.0,20.0,-1.0
1767708,New Zealand,2020-03-06,4.0,2.0,-9.0,9.0,19.0,-1.0
1767709,New Zealand,2020-03-07,7.0,4.0,2.0,3.0,6.0,1.0
1767710,New Zealand,2020-03-08,3.0,4.0,-6.0,5.0,1.0,1.0
1767711,New Zealand,2020-03-09,-6.0,-4.0,-18.0,12.0,30.0,-2.0
1767712,New Zealand,2020-03-10,-4.0,-2.0,-11.0,6.0,16.0,0.0
1767713,New Zealand,2020-03-11,-3.0,-2.0,-14.0,7.0,16.0,-1.0
1767714,New Zealand,2020-03-12,-2.0,-1.0,-15.0,7.0,19.0,-1.0
1767715,New Zealand,2020-03-13,2.0,0.0,-12.0,6.0,18.0,-1.0
1767716,New Zealand,2020-03-14,4.0,3.0,0.0,-2.0,6.0,1.0
1767717,New Zealand,2020-03-15,-1.0,6.0,-8.0,-2.0,1.0,1.0
1767718,New Zealand,2020-03-16,-7.0,5.0,-19.0,3.0,30.0,-1.0
1767719,New Zealand,2020-03-17,-9.0,10.0,-22.0,-9.0,13.0,1.0
1767720,New Zealand,2020-03-18,-8.0,13.0,-22.0,-10.0,10.0,2.0
1767721,New Zealand,2020-03-19,-10.0,22.0,-34.0,-14.0,12.0,3.0
1767722,New Zealand,2020-03-20,-13.0,12.0,-37.0,-20.0,9.0,5.0
1767723,New Zealand,2020-03-21,-17.0,6.0,-38.0,-32.0,0.0,8.0
1767724,New Zealand,2020-03-22,-25.0,-4.0,-36.0,-36.0,-8.0,8.0
1767725,New Zealand,2020-03-23,-12.0,29.0,-50.0,-34.0,6.0,6.0
1767726,New Zealand,2020-03-24,-19.0,12.0,-52.0,-51.0,-32.0,16.0
1767727,New Zealand,2020-03-25,-38.0,4.0,-52.0,-61.0,-49.0,20.0
1767728,New Zealand,2020-03-26,-92.0,-58.0,-77.0,-84.0,-74.0,35.0
1767729,New Zealand,2020-03-27,-91.0,-48.0,-80.0,-84.0,-74.0,38.0
1767730,New Zealand,2020-03-28,-92.0,-53.0,-80.0,-84.0,-63.0,26.0
1767731,New Zealand,2020-03-29,-91.0,-54.0,-78.0,-84.0,-59.0,22.0
1767732,New Zealand,2020-03-30,-88.0,-44.0,-73.0,-85.0,-71.0,30.0
1767733,New Zealand,2020-03-31,-87.0,-38.0,-66.0,-85.0,-75.0,33.0
1767734,New Zealand,2020-04-01,-87.0,-38.0,-66.0,-85.0,-74.0,34.0
1767735,New Zealand,2020-04-02,-88.0,-37.0,-69.0,-85.0,-74.0,34.0
1767736,New Zealand,2020-04-03,-89.0,-37.0,-72.0,-86.0,-73.0,37.0
1767737,New Zealand,2020-04-04,-91.0,-46.0,-75.0,-84.0,-60.0,25.0
1767738,New Zealand,2020-04-05,-90.0,-48.0,-74.0,-84.0,-57.0,21.0
1767739,New Zealand,2020-04-06,-88.0,-39.0,-71.0,-85.0,-70.0,30.0
1767740,New Zealand,2020-04-07,-88.0,-35.0,-67.0,-85.0,-74.0,33.0
1767741,New Zealand,2020-04-08,-87.0,-31.0,-74.0,-85.0,-74.0,33.0
1767742,New Zealand,2020-04-09,-86.0,-18.0,-77.0,-85.0,-73.0,33.0
1767743,New Zealand,2020-04-10,-95.0,-91.0,-68.0,-89.0,-88.0,42.0
1767744,New Zealand,2020-04-11,-88.0,-33.0,-75.0,-82.0,-58.0,24.0
1767745,New Zealand,2020-04-12,-92.0,-59.0,-77.0,-85.0,-59.0,22.0
1767746,New Zealand,2020-04-13,-91.0,-45.0,-76.0,-89.0,-85.0,34.0
1767747,New Zealand,2020-04-14,-89.0,-37.0,-77.0,-87.0,-74.0,34.0
1767748,New Zealand,2020-04-15,-88.0,-36.0,-76.0,-86.0,-73.0,34.0
1767749,New Zealand,2020-04-16,-89.0,-35.0,-75.0,-86.0,-72.0,34.0
1767750,New Zealand,2020-04-17,-90.0,-37.0,-81.0,-87.0,-72.0,37.0
1767751,New Zealand,2020-04-18,-91.0,-45.0,-77.0,-84.0,-57.0,25.0
1767752,New Zealand,2020-04-19,-91.0,-50.0,-77.0,-85.0,-55.0,21.0
1767753,New Zealand,2020-04-20,-89.0,-42.0,-71.0,-85.0,-68.0,29.0
1767754,New Zealand,2020-04-21,-87.0,-36.0,-66.0,-85.0,-71.0,33.0
1767755,New Zealand,2020-04-22,-87.0,-35.0,-64.0,-84.0,-70.0,33.0
1767756,New Zealand,2020-04-23,-88.0,-35.0,-74.0,-85.0,-68.0,33.0
1767757,New Zealand,2020-04-24,-88.0,-31.0,-68.0,-84.0,-66.0,35.0
1767758,New Zealand,2020-04-25,-89.0,-53.0,-69.0,-81.0,-56.0,24.0
1767759,New Zealand,2020-04-26,-88.0,-37.0,-69.0,-82.0,-49.0,20.0
1767760,New Zealand,2020-04-27,-89.0,-41.0,-63.0,-87.0,-81.0,32.0
1767761,New Zealand,2020-04-28,-68.0,-28.0,-48.0,-73.0,-47.0,22.0
1767762,New Zealand,2020-04-29,-70.0,-30.0,-51.0,-72.0,-48.0,14.0
1767763,New Zealand,2020-04-30,-81.0,-25.0,-53.0,-69.0,-46.0,24.0
1767764,New Zealand,2020-05-01,-80.0,-23.0,-51.0,-69.0,-44.0,25.0
1767765,New Zealand,2020-05-02,-83.0,-29.0,-56.0,-65.0,-34.0,18.0
1767766,New Zealand,2020-05-03,-87.0,-38.0,-72.0,-76.0,-39.0,18.0
1767767,New Zealand,2020-05-04,-80.0,-30.0,-59.0,-70.0,-37.0,20.0
1767768,New Zealand,2020-05-05,-81.0,-29.0,-64.0,-72.0,-46.0,24.0
1767769,New Zealand,2020-05-06,-79.0,-23.0,-48.0,-68.0,-44.0,23.0
1767770,New Zealand,2020-05-07,-72.0,-25.0,-55.0,-70.0,-42.0,23.0
1767771,New Zealand,2020-05-08,-70.0,-21.0,-51.0,-70.0,-40.0,24.0
1767772,New Zealand,2020-05-09,-71.0,-20.0,-41.0,-64.0,-27.0,16.0
1767773,New Zealand,2020-05-10,-72.0,-25.0,-44.0,-68.0,-30.0,14.0
1767774,New Zealand,2020-05-11,-72.0,-33.0,-54.0,-70.0,-33.0,19.0
1767775,New Zealand,2020-05-12,-70.0,-25.0,-52.0,-70.0,-40.0,22.0
1767776,New Zealand,2020-05-13,-70.0,-25.0,-53.0,-68.0,-39.0,21.0
1767777,New Zealand,2020-05-14,-35.0,-9.0,-45.0,-50.0,-28.0,15.0
1767778,New Zealand,2020-05-15,-35.0,-8.0,-42.0,-48.0,-28.0,16.0
1767779,New Zealand,2020-05-16,-31.0,-8.0,-35.0,-32.0,-12.0,8.0
1767780,New Zealand,2020-05-17,-34.0,-10.0,-33.0,-38.0,-17.0,8.0
1767781,New Zealand,2020-05-18,-33.0,-10.0,-39.0,-39.0,-2.0,8.0
1767782,New Zealand,2020-05-19,-36.0,-10.0,-37.0,-42.0,-14.0,11.0
1767783,New Zealand,2020-05-20,-29.0,-13.0,-38.0,-47.0,-14.0,11.0
1767784,New Zealand,2020-05-21,-28.0,-12.0,-42.0,-47.0,-10.0,11.0
1767785,New Zealand,2020-05-22,-24.0,-8.0,-39.0,-45.0,-9.0,11.0
1767786,New Zealand,2020-05-23,-18.0,-9.0,-33.0,-38.0,-7.0,7.0
1767787,New Zealand,2020-05-24,-25.0,-15.0,-53.0,-52.0,-16.0,8.0
1767788,New Zealand,2020-05-25,-29.0,-16.0,-57.0,-48.0,-1.0,9.0
1767789,New Zealand,2020-05-26,-27.0,-12.0,-41.0,-46.0,-9.0,10.0
1767790,New Zealand,2020-05-27,-26.0,-12.0,-45.0,-44.0,-9.0,10.0
1767791,New Zealand,2020-05-28,-24.0,-9.0,-40.0,-40.0,-5.0,9.0
1767792,New Zealand,2020-05-29,-20.0,-5.0,-45.0,-40.0,-9.0,9.0
1767793,New Zealand,2020-05-30,-12.0,-4.0,-26.0,-31.0,-5.0,5.0
1767794,New Zealand,2020-05-31,-15.0,-13.0,-31.0,-41.0,-11.0,5.0
1767795,New Zealand,2020-06-01,-18.0,-9.0,-34.0,-56.0,-72.0,17.0
1767796,New Zealand,2020-06-02,-29.0,-11.0,-36.0,-41.0,-8.0,8.0
1767797,New Zealand,2020-06-03,-27.0,-12.0,-40.0,-39.0,-6.0,9.0
1767798,New Zealand,2020-06-04,-27.0,-10.0,-51.0,-41.0,-2.0,9.0
1767799,New Zealand,2020-06-05,-16.0,-9.0,-51.0,-43.0,-2.0,9.0
1767800,New Zealand,2020-06-06,-8.0,-8.0,-41.0,-41.0,-2.0,7.0
1767801,New Zealand,2020-06-07,-12.0,-10.0,-38.0,-46.0,-8.0,7.0
1767802,New Zealand,2020-06-08,-21.0,-14.0,-40.0,-41.0,9.0,6.0
1767803,New Zealand,2020-06-09,-19.0,-11.0,-35.0,-41.0,-3.0,7.0
1767804,New Zealand,2020-06-10,-17.0,-12.0,-35.0,-38.0,-3.0,7.0
1767805,New Zealand,2020-06-11,-14.0,-10.0,-40.0,-38.0,1.0,7.0
1767806,New Zealand,2020-06-12,-9.0,-7.0,-45.0,-36.0,0.0,7.0
1767807,New Zealand,2020-06-13,-1.0,-4.0,-30.0,-33.0,1.0,5.0
