Animal ID,Name,DateTime,MonthYear,Date of Birth,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Outcome
A819419,*Chicken,09/22/2020 10:33:00 AM,09/22/2020 10:33:00 AM,04/28/2020,Cat,Spayed Female,4 months,Domestic Shorthair,Blue Tabby/White,0
A710946,*Sabrina,09/07/2015 12:28:00 PM,09/07/2015 12:28:00 PM,06/15/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,0
A572792,Oreo,05/23/2014 05:16:00 PM,05/23/2014 05:16:00 PM,05/06/2007,Dog,Neutered Male,7 years,English Springer Spaniel Mix,Black/White,0
A807189,Sequoia,10/27/2019 04:44:00 PM,10/27/2019 04:44:00 PM,08/12/2019,Dog,Spayed Female,2 months,Labrador Retriever/Redbone Hound,Red/Black,0
A746717,,04/08/2017 09:00:00 AM,04/08/2017 09:00:00 AM,04/07/2016,Cat,Intact Male,1 year,Domestic Shorthair Mix,White/Orange,0
A723107,,03/27/2016 09:02:00 AM,03/27/2016 09:02:00 AM,06/26/2010,Other,Unknown,5 years,Bat,Brown,1
A664073,*Parker,10/07/2013 05:06:00 PM,10/07/2013 05:06:00 PM,09/28/2011,Dog,Neutered Male,2 years,Hovawart Mix,Black/Tan,0
A591877,Precious,12/12/2014 04:13:00 PM,12/12/2014 04:13:00 PM,01/13/2010,Dog,Spayed Female,4 years,Labrador Retriever Mix,Yellow,0
A796518,*Tres Leches,06/13/2019 12:36:00 PM,06/13/2019 12:36:00 PM,06/02/2015,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Cream Tabby,0
A669469,*Jackie,11/10/2016 11:02:00 AM,11/10/2016 11:02:00 AM,10/21/2013,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White,0
A768780,,03/24/2018 07:11:00 PM,03/24/2018 07:11:00 PM,03/21/2018,Cat,Intact Male,3 days,Domestic Shorthair Mix,Orange Tabby,0
A673075,,02/24/2014 01:04:00 PM,02/24/2014 01:04:00 PM,02/19/2007,Dog,Neutered Male,7 years,Lhasa Apso Mix,White/Black,0
A834470,Sam,05/24/2021 12:17:00 PM,05/24/2021 12:17:00 PM,01/13/2021,Dog,Intact Male,4 months,St. Bernard Smooth Coat Mix,Brown/White,0
A731624,*Sierra,09/17/2016 12:54:00 PM,09/17/2016 12:54:00 PM,06/20/2016,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,0
A692917,*Lucky,12/16/2014 04:02:00 PM,12/16/2014 04:02:00 PM,11/28/2009,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White,0
A478206,Kobe,08/24/2015 05:23:00 PM,08/24/2015 05:23:00 PM,04/08/2007,Dog,Neutered Male,8 years,Miniature Schnauzer Mix,Black,0
A734066,,09/08/2016 11:42:00 AM,09/08/2016 11:42:00 AM,08/09/2016,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue,0
A679742,,05/26/2014 04:55:00 PM,05/26/2014 04:55:00 PM,03/25/2014,Dog,Intact Male,2 months,Catahoula Mix,White,0
A801506,,08/05/2019 02:10:00 PM,08/05/2019 02:10:00 PM,07/29/2019,Cat,Unknown,1 week,Domestic Shorthair,Brown Tabby,0
A701745,*Percy,05/08/2015 05:27:00 PM,05/08/2015 05:27:00 PM,12/20/2014,Dog,Neutered Male,4 months,German Shepherd Mix,Black/Tan,0
A793656,,05/02/2019 04:14:00 PM,05/02/2019 04:14:00 PM,04/28/2017,Cat,Unknown,2 years,Siamese Mix,Seal Point,0
A676241,,04/12/2014 12:24:00 PM,04/12/2014 12:24:00 PM,01/22/2014,Dog,Spayed Female,2 months,German Shepherd/Doberman Pinsch,Black/Tan,0
A692406,*Remington,12/01/2014 04:02:00 PM,12/01/2014 04:02:00 PM,11/19/2013,Dog,Neutered Male,1 year,Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle,0
A831897,,04/07/2021 03:47:00 PM,04/07/2021 03:47:00 PM,04/04/2014,Cat,Spayed Female,7 years,Domestic Shorthair,Tortie,0
A713786,*Eli,12/13/2015 01:34:00 PM,12/13/2015 01:34:00 PM,09/22/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0
A842821,,09/28/2021 10:35:00 AM,09/28/2021 10:35:00 AM,09/18/2021,Dog,Intact Female,1 weeks,Alaskan Husky/German Shepherd,Black/White,0
A549834,Danny,01/06/2015 06:13:00 PM,01/06/2015 06:13:00 PM,05/18/2009,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,White/Brown,0
A702674,*Franklin,05/30/2016 03:21:00 PM,05/30/2016 03:21:00 PM,03/16/2015,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,White/Brown,0
A726842,*Freckles,02/11/2017 03:36:00 PM,02/11/2017 03:36:00 PM,05/15/2015,Dog,Spayed Female,1 year,Pit Bull Mix,White/Blue,0
A736104,Boog,10/24/2016 12:00:00 AM,10/24/2016 12:00:00 AM,10/04/2008,Dog,Neutered Male,8 years,Pomeranian Mix,Tricolor,0
A750061,,05/23/2017 02:06:00 PM,05/23/2017 02:06:00 PM,05/23/2016,Other,Unknown,1 year,Chinchilla Mix,Black/Silver,0
A835864,*Dunkel,06/24/2021 04:54:00 PM,06/24/2021 04:54:00 PM,03/18/2021,Cat,Neutered Male,3 months,Domestic Shorthair,Black,0
A794354,,06/05/2019 02:09:00 PM,06/05/2019 02:09:00 PM,03/30/2019,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,0
A724881,*Orville,07/07/2016 01:30:00 PM,07/07/2016 01:30:00 PM,03/07/2016,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Silver Tabby,0
A784710,Maximus,11/28/2020 04:30:00 PM,11/28/2020 04:30:00 PM,09/19/2018,Dog,Neutered Male,2 years,Labrador Retriever,Black/White,0
A797212,,06/18/2019 06:14:00 PM,06/18/2019 06:14:00 PM,06/10/2018,Dog,Intact Female,1 year,Chihuahua Shorthair,Black/Tan,0
