id,country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2333910,United States,2020-03-01,13.0,9.0,18.0,7.0,3.0,-1.0
2333911,United States,2020-03-02,7.0,6.0,10.0,2.0,3.0,-1.0
2333912,United States,2020-03-03,11.0,10.0,20.0,3.0,2.0,-1.0
2333913,United States,2020-03-04,8.0,6.0,17.0,2.0,3.0,-1.0
2333914,United States,2020-03-05,8.0,7.0,21.0,2.0,3.0,-1.0
2333915,United States,2020-03-06,5.0,3.0,12.0,2.0,2.0,-1.0
2333916,United States,2020-03-07,10.0,8.0,29.0,7.0,5.0,-1.0
2333917,United States,2020-03-08,10.0,7.0,40.0,5.0,2.0,-1.0
2333918,United States,2020-03-09,6.0,6.0,31.0,-1.0,0.0,0.0
2333919,United States,2020-03-10,6.0,7.0,18.0,-3.0,-2.0,1.0
2333920,United States,2020-03-11,8.0,10.0,26.0,-2.0,-1.0,0.0
2333921,United States,2020-03-12,6.0,23.0,19.0,-6.0,-3.0,1.0
2333922,United States,2020-03-13,2.0,26.0,4.0,-10.0,-7.0,3.0
2333923,United States,2020-03-14,-6.0,18.0,3.0,-10.0,-1.0,3.0
2333924,United States,2020-03-15,-9.0,12.0,5.0,-13.0,-7.0,3.0
2333925,United States,2020-03-16,-8.0,21.0,-1.0,-22.0,-20.0,8.0
2333926,United States,2020-03-17,-18.0,14.0,8.0,-26.0,-27.0,11.0
2333927,United States,2020-03-18,-24.0,8.0,6.0,-30.0,-31.0,13.0
2333928,United States,2020-03-19,-28.0,7.0,2.0,-36.0,-33.0,15.0
2333929,United States,2020-03-20,-32.0,5.0,-2.0,-37.0,-36.0,16.0
2333930,United States,2020-03-21,-40.0,-2.0,-3.0,-36.0,-24.0,12.0
2333931,United States,2020-03-22,-44.0,-13.0,-12.0,-44.0,-31.0,11.0
2333932,United States,2020-03-23,-38.0,-10.0,-23.0,-47.0,-41.0,17.0
2333933,United States,2020-03-24,-39.0,-12.0,-10.0,-46.0,-45.0,19.0
2333934,United States,2020-03-25,-40.0,-15.0,-7.0,-47.0,-46.0,19.0
2333935,United States,2020-03-26,-40.0,-14.0,3.0,-48.0,-47.0,20.0
2333936,United States,2020-03-27,-42.0,-16.0,-7.0,-49.0,-46.0,21.0
2333937,United States,2020-03-28,-48.0,-19.0,-25.0,-49.0,-34.0,15.0
2333938,United States,2020-03-29,-47.0,-22.0,-19.0,-51.0,-38.0,12.0
2333939,United States,2020-03-30,-40.0,-18.0,-15.0,-50.0,-48.0,19.0
2333940,United States,2020-03-31,-40.0,-16.0,-16.0,-49.0,-49.0,20.0
2333941,United States,2020-04-01,-37.0,-11.0,-7.0,-48.0,-49.0,20.0
2333942,United States,2020-04-02,-40.0,-11.0,-9.0,-51.0,-50.0,21.0
2333943,United States,2020-04-03,-42.0,-12.0,-21.0,-51.0,-50.0,22.0
2333944,United States,2020-04-04,-48.0,-15.0,-24.0,-50.0,-37.0,15.0
2333945,United States,2020-04-05,-49.0,-20.0,-20.0,-54.0,-40.0,13.0
2333946,United States,2020-04-06,-42.0,-16.0,-10.0,-52.0,-50.0,20.0
2333947,United States,2020-04-07,-42.0,-14.0,-2.0,-51.0,-51.0,21.0
2333948,United States,2020-04-08,-42.0,-15.0,-6.0,-51.0,-51.0,21.0
2333949,United States,2020-04-09,-43.0,-13.0,-21.0,-54.0,-52.0,22.0
2333950,United States,2020-04-10,-43.0,-13.0,-21.0,-54.0,-56.0,24.0
2333951,United States,2020-04-11,-45.0,-7.0,-16.0,-49.0,-38.0,14.0
2333952,United States,2020-04-12,-63.0,-39.0,-36.0,-56.0,-45.0,13.0
2333953,United States,2020-04-13,-45.0,-22.0,-31.0,-55.0,-51.0,21.0
2333954,United States,2020-04-14,-40.0,-16.0,-15.0,-50.0,-50.0,20.0
2333955,United States,2020-04-15,-36.0,-13.0,-16.0,-49.0,-49.0,20.0
2333956,United States,2020-04-16,-39.0,-13.0,-14.0,-50.0,-49.0,21.0
2333957,United States,2020-04-17,-42.0,-17.0,-22.0,-51.0,-48.0,22.0
2333958,United States,2020-04-18,-45.0,-15.0,-20.0,-47.0,-33.0,14.0
2333959,United States,2020-04-19,-45.0,-19.0,-10.0,-50.0,-37.0,11.0
2333960,United States,2020-04-20,-39.0,-16.0,-7.0,-49.0,-48.0,19.0
2333961,United States,2020-04-21,-38.0,-14.0,-8.0,-49.0,-49.0,20.0
2333962,United States,2020-04-22,-38.0,-14.0,-9.0,-48.0,-49.0,20.0
2333963,United States,2020-04-23,-40.0,-14.0,-14.0,-50.0,-49.0,21.0
2333964,United States,2020-04-24,-40.0,-16.0,-14.0,-50.0,-48.0,21.0
2333965,United States,2020-04-25,-41.0,-11.0,2.0,-42.0,-32.0,12.0
2333966,United States,2020-04-26,-42.0,-16.0,-11.0,-48.0,-36.0,11.0
2333967,United States,2020-04-27,-35.0,-13.0,-4.0,-48.0,-46.0,18.0
2333968,United States,2020-04-28,-34.0,-10.0,6.0,-45.0,-48.0,12.0
2333969,United States,2020-04-29,-34.0,-11.0,-7.0,-46.0,-47.0,19.0
2333970,United States,2020-04-30,-34.0,-9.0,-7.0,-47.0,-47.0,19.0
2333971,United States,2020-05-01,-32.0,-7.0,7.0,-43.0,-45.0,18.0
2333972,United States,2020-05-02,-34.0,-4.0,28.0,-35.0,-29.0,10.0
2333973,United States,2020-05-03,-34.0,-8.0,22.0,-40.0,-31.0,8.0
2333974,United States,2020-05-04,-29.0,-7.0,5.0,-44.0,-44.0,16.0
2333975,United States,2020-05-05,-28.0,-3.0,5.0,-43.0,-45.0,17.0
2333976,United States,2020-05-06,-29.0,-6.0,6.0,-43.0,-44.0,17.0
2333977,United States,2020-05-07,-29.0,-3.0,21.0,-42.0,-44.0,17.0
2333978,United States,2020-05-08,-32.0,-5.0,-2.0,-43.0,-43.0,18.0
2333979,United States,2020-05-09,-30.0,7.0,9.0,-35.0,-26.0,9.0
2333980,United States,2020-05-10,-30.0,1.0,6.0,-37.0,-27.0,7.0
2333981,United States,2020-05-11,-31.0,-11.0,-3.0,-44.0,-42.0,16.0
2333982,United States,2020-05-12,-28.0,-6.0,10.0,-41.0,-43.0,16.0
2333983,United States,2020-05-13,-26.0,-5.0,18.0,-40.0,-42.0,16.0
2333984,United States,2020-05-14,-28.0,-5.0,17.0,-42.0,-43.0,17.0
2333985,United States,2020-05-15,-29.0,-7.0,21.0,-40.0,-42.0,16.0
